date,date_dt,season,block_id,cultivar,file,eta_mm,eto_mm,ndvi
2022-10-28,2022-10-28,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-28_10m.tif,2.8505807,6.187422,
2022-10-29,2022-10-29,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-29_10m.tif,2.4302814,5.275179,
2022-10-30,2022-10-30,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-30_10m.tif,1.5442241,3.3517635,
2022-10-31,2022-10-31,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-31_10m.tif,2.8335128,6.150323,
2022-11-01,2022-11-01,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-01_10m.tif,3.5310771,7.713006,0.434734970331192
2022-11-02,2022-11-02,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-02_10m.tif,2.20838,4.823781,
2022-11-03,2022-11-03,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-03_10m.tif,2.1441424,4.683478,
2022-11-04,2022-11-04,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-04_10m.tif,2.2416928,4.8965116,
2022-11-05,2022-11-05,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-05_10m.tif,1.8544925,4.0507655,
2022-11-06,2022-11-06,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-06_10m.tif,2.9293737,5.834561,0.42686471343040466
2022-11-07,2022-11-07,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-07_10m.tif,2.3915882,4.763536,
2022-11-08,2022-11-08,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-08_10m.tif,2.0759308,4.134801,
2022-11-09,2022-11-09,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-09_10m.tif,1.8432735,3.6714478,
2022-11-10,2022-11-10,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-10_10m.tif,3.0639005,6.1025524,
2022-11-11,2022-11-11,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-11_10m.tif,2.4019465,5.107399,0.38311538100242615
2022-11-12,2022-11-12,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-12_10m.tif,2.1640816,4.6015224,
2022-11-13,2022-11-13,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-13_10m.tif,2.033078,4.3230147,
2022-11-14,2022-11-14,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-14_10m.tif,2.7263145,5.7971144,
2022-11-15,2022-11-15,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-15_10m.tif,2.425886,5.158256,
2022-11-16,2022-11-16,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-16_10m.tif,1.92592,4.0951343,
2022-11-17,2022-11-17,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-17_10m.tif,2.2126977,4.704937,
2022-11-18,2022-11-18,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-18_10m.tif,2.1350086,4.5397754,
2022-11-19,2022-11-19,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-19_10m.tif,1.9183797,4.0791283,
2022-11-20,2022-11-20,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-20_10m.tif,2.554557,5.4318795,
2022-11-21,2022-11-21,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-21_10m.tif,2.6718519,5.320576,0.4294562041759491
2022-11-22,2022-11-22,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-22_10m.tif,2.6387887,5.254736,
2022-11-23,2022-11-23,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-23_10m.tif,2.2127507,4.4063506,
2022-11-24,2022-11-24,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-24_10m.tif,1.7253809,3.4358284,
2022-11-25,2022-11-25,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-25_10m.tif,2.9260974,5.826864,
2022-11-26,2022-11-26,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-26_10m.tif,3.2271304,6.691216,0.43087655305862427
2022-11-27,2022-11-27,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-27_10m.tif,3.751977,7.779427,
2022-11-28,2022-11-28,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-28_10m.tif,3.5637996,7.389318,
2022-11-29,2022-11-29,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-29_10m.tif,3.1570837,6.546041,
2022-11-30,2022-11-30,2022_2023,K1,CabFranc,ETa_Tokara_2022-11-30_10m.tif,2.5681415,5.3249187,
2022-12-01,2022-12-01,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-01_10m.tif,2.5612392,5.3105516,
2022-12-02,2022-12-02,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-02_10m.tif,1.994218,4.1346664,
2022-12-03,2022-12-03,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-03_10m.tif,2.2232113,4.6095204,
2022-12-04,2022-12-04,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-04_10m.tif,2.6733375,5.542723,
2022-12-05,2022-12-05,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-05_10m.tif,2.1105785,4.376022,
2022-12-06,2022-12-06,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-06_10m.tif,2.7665124,5.531765,0.41968053579330444
2022-12-07,2022-12-07,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-07_10m.tif,2.936361,5.871428,
2022-12-08,2022-12-08,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-08_10m.tif,3.6723807,7.3431077,
2022-12-09,2022-12-09,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-09_10m.tif,3.0942924,6.187099,
2022-12-10,2022-12-10,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-10_10m.tif,2.5809083,5.1607037,
2022-12-11,2022-12-11,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-11_10m.tif,2.6967704,5.3920975,
2022-12-12,2022-12-12,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-12_10m.tif,1.8214835,3.6420496,
2022-12-13,2022-12-13,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-13_10m.tif,2.2187726,4.436337,
2022-12-14,2022-12-14,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-14_10m.tif,2.4341085,4.8670783,
2022-12-15,2022-12-15,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-15_10m.tif,3.342465,6.6834574,
2022-12-16,2022-12-16,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-16_10m.tif,1.581827,3.1629465,
2022-12-17,2022-12-17,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-17_10m.tif,2.4871428,4.9731045,
2022-12-18,2022-12-18,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-18_10m.tif,2.583381,5.165443,
2022-12-19,2022-12-19,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-19_10m.tif,2.1013093,4.2014294,
2022-12-20,2022-12-20,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-20_10m.tif,2.7021894,5.4030547,
2022-12-21,2022-12-21,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-21_10m.tif,3.4873698,6.9004755,0.45913103222846985
2022-12-22,2022-12-22,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-22_10m.tif,3.168441,6.269408,
2022-12-23,2022-12-23,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-23_10m.tif,1.6619105,3.2884555,
2022-12-24,2022-12-24,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-24_10m.tif,2.159358,4.272772,
2022-12-25,2022-12-25,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-25_10m.tif,2.3718512,4.6932397,
2022-12-26,2022-12-26,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-26_10m.tif,3.0460603,6.2715425,0.4662089943885803
2022-12-27,2022-12-27,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-27_10m.tif,2.8493934,5.866616,
2022-12-28,2022-12-28,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-28_10m.tif,2.7093108,5.5782666,
2022-12-29,2022-12-29,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-29_10m.tif,2.6816282,5.521332,
2022-12-30,2022-12-30,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-30_10m.tif,3.5380652,7.2846074,
2022-12-31,2022-12-31,2022_2023,K1,CabFranc,ETa_Tokara_2022-12-31_10m.tif,4.106868,8.348548,0.4808395206928253
2023-01-01,2023-01-01,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-01_10m.tif,4.1574273,8.451326,
2023-01-02,2023-01-02,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-02_10m.tif,3.6439118,7.4074783,
2023-01-03,2023-01-03,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-03_10m.tif,3.1587038,6.4211183,
2023-01-04,2023-01-04,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-04_10m.tif,2.055066,4.177569,
2023-01-05,2023-01-05,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-05_10m.tif,2.3535657,4.5638676,0.5038039684295654
2023-01-06,2023-01-06,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-06_10m.tif,3.3632393,6.52194,
2023-01-07,2023-01-07,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-07_10m.tif,3.5264294,6.83852,
2023-01-08,2023-01-08,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-08_10m.tif,3.4976711,6.782856,
2023-01-09,2023-01-09,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-09_10m.tif,3.2841673,6.368895,
2023-01-10,2023-01-10,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-10_10m.tif,2.9885314,5.809669,0.4882206320762634
2023-01-11,2023-01-11,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-11_10m.tif,2.6291368,5.1110053,
2023-01-12,2023-01-12,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-12_10m.tif,2.9412913,5.7177134,
2023-01-13,2023-01-13,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-13_10m.tif,2.9964213,5.8249702,
2023-01-14,2023-01-14,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-14_10m.tif,3.168544,6.159452,
2023-01-15,2023-01-15,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-15_10m.tif,3.746209,7.3070607,0.4898419678211212
2023-01-16,2023-01-16,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-16_10m.tif,3.5912545,7.004883,
2023-01-17,2023-01-17,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-17_10m.tif,3.2204294,6.281697,
2023-01-18,2023-01-18,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-18_10m.tif,2.9864042,5.8251324,
2023-01-19,2023-01-19,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-19_10m.tif,2.7730136,5.4089246,
2023-01-20,2023-01-20,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-20_10m.tif,3.0411594,5.7582893,0.4818877577781677
2023-01-21,2023-01-21,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-21_10m.tif,3.092068,5.854688,
2023-01-22,2023-01-22,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-22_10m.tif,2.5522537,4.832566,
2023-01-23,2023-01-23,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-23_10m.tif,3.11512,5.898317,
2023-01-24,2023-01-24,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-24_10m.tif,1.5542783,2.942915,
2023-01-25,2023-01-25,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-25_10m.tif,2.9855876,5.8066435,0.5001251697540283
2023-01-26,2023-01-26,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-26_10m.tif,3.0753586,5.981123,
2023-01-27,2023-01-27,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-27_10m.tif,3.1409674,6.1086974,
2023-01-28,2023-01-28,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-28_10m.tif,2.0795283,4.044469,
2023-01-29,2023-01-29,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-29_10m.tif,3.629719,7.059379,
2023-01-30,2023-01-30,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-30_10m.tif,3.7329936,7.389323,0.4766649007797241
2023-01-31,2023-01-31,2022_2023,K1,CabFranc,ETa_Tokara_2023-01-31_10m.tif,3.383809,6.6980953,
2023-02-01,2023-02-01,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-01_10m.tif,2.6598766,5.2651534,
2023-02-02,2023-02-02,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-02_10m.tif,2.5967727,5.1402745,
2023-02-03,2023-02-03,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-03_10m.tif,3.1944232,6.323221,
2023-02-04,2023-02-04,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-04_10m.tif,3.3385646,6.388795,0.4757611155509949
2023-02-05,2023-02-05,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-05_10m.tif,1.9989399,3.8252523,
2023-02-06,2023-02-06,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-06_10m.tif,3.0646124,5.864546,
2023-02-07,2023-02-07,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-07_10m.tif,2.1654196,4.1438394,
2023-02-08,2023-02-08,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-08_10m.tif,3.7333233,7.1442175,
2023-02-09,2023-02-09,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-09_10m.tif,3.2821264,6.5142746,0.4821673035621643
2023-02-10,2023-02-10,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-10_10m.tif,3.4371018,6.821858,
2023-02-11,2023-02-11,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-11_10m.tif,3.385258,6.7189837,
2023-02-12,2023-02-12,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-12_10m.tif,2.4263048,4.815661,
2023-02-13,2023-02-13,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-13_10m.tif,2.7633436,5.484597,
2023-02-14,2023-02-14,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-14_10m.tif,2.7171066,4.918004,0.4601796865463257
2023-02-15,2023-02-15,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-15_10m.tif,2.5902739,4.6884403,
2023-02-16,2023-02-16,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-16_10m.tif,2.7427304,4.9644213,
2023-02-17,2023-02-17,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-17_10m.tif,2.3858612,4.3184896,
2023-02-18,2023-02-18,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-18_10m.tif,3.0423622,5.5067215,
2023-02-19,2023-02-19,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-19_10m.tif,2.7034078,5.3746367,0.47248712182044983
2023-02-20,2023-02-20,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-20_10m.tif,1.1579851,2.3021972,
2023-02-21,2023-02-21,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-21_10m.tif,2.085097,4.145407,
2023-02-22,2023-02-22,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-22_10m.tif,2.4900432,4.9504695,
2023-02-23,2023-02-23,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-23_10m.tif,2.7741518,5.515287,
2023-02-24,2023-02-24,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-24_10m.tif,2.3030946,4.4367537,0.4881867468357086
2023-02-25,2023-02-25,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-25_10m.tif,2.7874465,5.369665,
2023-02-26,2023-02-26,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-26_10m.tif,3.1670275,6.1010323,
2023-02-27,2023-02-27,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-27_10m.tif,3.4074676,6.564544,
2023-02-28,2023-02-28,2022_2023,K1,CabFranc,ETa_Tokara_2023-02-28_10m.tif,3.0120037,5.802295,
2023-03-01,2023-03-01,2022_2023,K1,CabFranc,ETa_Tokara_2023-03-01_10m.tif,3.0233378,5.889489,0.5001730918884277
2023-03-02,2023-03-02,2022_2023,K1,CabFranc,ETa_Tokara_2023-03-02_10m.tif,2.8763518,5.6031876,
2023-03-03,2023-03-03,2022_2023,K1,CabFranc,ETa_Tokara_2023-03-03_10m.tif,1.8940525,3.6895957,
2023-03-04,2023-03-04,2022_2023,K1,CabFranc,ETa_Tokara_2023-03-04_10m.tif,1.518716,2.9584575,
2023-03-05,2023-03-05,2022_2023,K1,CabFranc,ETa_Tokara_2023-03-05_10m.tif,0.9397952,1.8307078,
2023-03-06,2023-03-06,2022_2023,K1,CabFranc,ETa_Tokara_2023-03-06_10m.tif,1.4999431,2.9218857,
2023-03-07,2023-03-07,2022_2023,K1,CabFranc,ETa_Tokara_2023-03-07_10m.tif,2.0148282,3.9248292,
2023-03-08,2023-03-08,2022_2023,K1,CabFranc,ETa_Tokara_2023-03-08_10m.tif,1.3719442,2.6725225,
2023-03-09,2023-03-09,2022_2023,K1,CabFranc,ETa_Tokara_2023-03-09_10m.tif,0.65440917,1.274822,
2023-03-10,2023-03-10,2022_2023,K1,CabFranc,ETa_Tokara_2023-03-10_10m.tif,1.9224163,3.7448757,
2023-03-11,2023-03-11,2022_2023,K1,CabFranc,ETa_Tokara_2023-03-11_10m.tif,1.3491439,2.628142,
2023-03-12,2023-03-12,2022_2023,K1,CabFranc,ETa_Tokara_2023-03-12_10m.tif,2.2683077,4.4186854,
2023-03-13,2023-03-13,2022_2023,K1,CabFranc,ETa_Tokara_2023-03-13_10m.tif,2.38206,4.640256,
2023-03-14,2023-03-14,2022_2023,K1,CabFranc,ETa_Tokara_2023-03-14_10m.tif,2.8542864,5.560158,
2023-03-15,2023-03-15,2022_2023,K1,CabFranc,ETa_Tokara_2023-03-15_10m.tif,2.5749009,5.0159626,
